slice,roi_mae,roi_rmse,roi_psnr,roi_ssim,full_mae,full_rmse,full_psnr,full_ssim,cbct_roi_mae,roi_n
slice_0001,262.8981,401.6147,20.1178,0.1875,6.0390,60.9787,36.4905,0.9791,412.2428,1368
slice_0002,311.2155,474.7568,18.6646,0.2846,12.7154,96.5367,32.5002,0.9666,333.2852,2460
slice_0003,131.0223,210.0623,25.7471,0.5119,8.7645,57.2416,37.0398,0.9637,300.3765,3906
slice_0004,212.8830,337.2875,21.6340,0.3789,19.6786,103.6111,31.8859,0.9317,264.7463,5687
slice_0005,144.7390,229.7111,24.9704,0.5058,18.9939,86.8971,33.4139,0.9241,252.9701,7882
slice_0006,245.6772,403.3440,20.0805,0.4534,40.7684,164.1096,27.8913,0.8842,253.1203,10644
slice_0007,204.1173,361.8802,21.0227,0.5150,43.0663,166.2105,27.7809,0.8711,250.9061,13438
slice_0008,236.6442,391.9678,20.3290,0.4355,60.1176,197.7891,26.2700,0.8204,240.2110,16215
slice_0009,163.1148,290.5740,22.9289,0.4952,47.7539,157.5683,28.2446,0.8219,245.9632,18721
slice_0010,144.9715,273.2528,23.4627,0.5599,45.6025,153.0814,28.4956,0.8287,242.7592,20404
slice_0011,126.9803,254.6786,24.0742,0.6251,43.1785,148.3671,28.7673,0.8459,233.0377,22089
slice_0012,154.9581,303.5506,22.5494,0.6262,57.1245,184.1889,26.8888,0.8335,243.1179,24030
slice_0013,110.4162,231.4102,24.9064,0.6753,43.0505,144.4734,28.9983,0.8468,253.6938,25368
slice_0014,93.3451,204.8934,25.9635,0.7283,37.6385,130.1177,29.9073,0.8676,262.9984,26194
slice_0015,109.9567,228.1985,25.0278,0.7118,46.3357,148.1066,28.7825,0.8451,264.9011,27400
slice_0016,95.4412,192.4937,26.5057,0.7439,42.2600,128.1663,30.0385,0.8519,262.8165,28744
slice_0017,109.5752,232.6573,24.8597,0.6968,50.4564,157.8312,28.2302,0.8170,258.0167,29944
slice_0018,89.6161,183.4099,26.9256,0.7544,42.5549,126.5067,30.1518,0.8486,257.4325,30830
slice_0019,93.5704,196.2404,26.3383,0.7338,44.6313,135.6025,29.5487,0.8370,248.5553,30975
slice_0020,124.5459,251.1257,24.1962,0.6934,59.2635,173.1744,27.4243,0.8150,239.4922,30967
slice_0021,77.9914,177.9878,27.1862,0.7875,37.2370,123.0742,30.3907,0.8722,243.7211,30935
slice_0022,69.8396,157.0334,28.2742,0.7982,33.3973,108.8065,31.4609,0.8786,241.4866,30937
slice_0023,79.0373,171.5522,27.5061,0.7779,37.7219,118.6981,30.7051,0.8679,238.5001,30913
slice_0024,80.6134,172.1436,27.4762,0.7452,38.4500,119.0938,30.6762,0.8480,237.3894,30892
slice_0025,96.4251,217.3414,25.4512,0.7230,45.8721,149.8816,28.6791,0.8334,231.7062,30866
slice_0026,89.1118,199.2644,26.2054,0.7582,42.4273,137.5261,29.4263,0.8560,218.7636,30858
slice_0027,82.4489,193.8275,26.4457,0.7690,39.2657,133.7854,29.6658,0.8613,214.6479,30849
slice_0028,89.0111,201.4716,26.1097,0.7256,42.3486,139.0041,29.3335,0.8363,212.1368,30845
slice_0029,85.4825,200.1178,26.1683,0.7506,40.6538,138.0244,29.3949,0.8510,211.9221,30817
slice_0030,81.6786,190.1657,26.6114,0.7557,38.8692,131.2589,29.8314,0.8540,211.0277,30808
slice_0031,80.5613,189.1527,26.6578,0.7604,38.3128,130.5227,29.8803,0.8568,209.1488,30777
slice_0032,77.4474,184.2385,26.8864,0.7759,36.8870,127.2551,30.1005,0.8664,206.8731,30796
slice_0033,81.4845,190.2171,26.6090,0.7573,38.7946,131.3485,29.8255,0.8553,205.7845,30789
slice_0034,85.8429,192.0256,26.5268,0.7495,40.8680,132.6288,29.7413,0.8499,203.8358,30797
slice_0035,75.1386,175.1534,27.3257,0.7843,35.8607,121.1986,30.5241,0.8713,201.1933,30809
slice_0036,77.6268,182.6631,26.9610,0.7753,37.0706,126.3888,30.1598,0.8662,198.5154,30823
slice_0037,80.9421,187.1965,26.7481,0.7501,38.6647,129.5516,29.9452,0.8512,195.1994,30835
slice_0038,77.1105,180.0726,27.0851,0.7804,36.9112,124.8164,30.2686,0.8687,191.2144,30855
slice_0039,79.0691,185.8121,26.8125,0.7716,37.9359,129.0295,29.9802,0.8617,188.1280,30893
slice_0040,79.0128,185.2765,26.8376,0.7569,38.0153,129.0950,29.9758,0.8527,183.9173,30929
slice_0041,88.7076,202.8692,26.0497,0.7552,42.7379,141.4031,29.1848,0.8505,177.3199,31005
slice_0042,72.2445,168.1084,27.6822,0.7940,34.9954,117.9065,30.7633,0.8733,180.0696,31049
slice_0043,78.9200,185.3637,26.8335,0.7705,38.2761,129.8969,29.9220,0.8587,183.4343,31114
slice_0044,74.6786,176.3806,27.2650,0.7927,36.3570,124.1537,30.3148,0.8725,181.8759,31163
slice_0045,77.3189,177.4896,27.2106,0.7743,37.6841,125.1086,30.2483,0.8610,181.7274,31202
slice_0046,78.5746,183.1315,26.9388,0.7791,38.3838,129.0811,29.9768,0.8632,182.7833,31276
slice_0047,79.1124,173.3031,27.4179,0.8014,38.6882,122.3555,30.4416,0.8773,180.0949,31325
slice_0048,87.8960,190.1331,26.6129,0.7628,42.9748,133.9391,29.6559,0.8541,171.6776,31380
slice_0049,80.7637,175.5997,27.3035,0.7738,39.6394,124.2357,30.3091,0.8605,173.1305,31431
slice_0050,77.1583,168.2566,27.6746,0.7969,37.9864,119.3829,30.6552,0.8747,180.8262,31487
slice_0051,71.4686,168.5384,27.6600,0.7947,35.3250,119.7329,30.6298,0.8731,181.3637,31545
slice_0052,68.6134,157.6644,28.2394,0.8069,34.0206,112.5326,31.1685,0.8795,181.6667,31600
slice_0053,94.0520,179.8037,27.0980,0.7446,46.3918,127.6959,30.0705,0.8426,182.6694,31670
slice_0054,101.5227,197.7029,26.2738,0.7368,50.1184,140.0378,29.2691,0.8367,183.1338,31745
slice_0055,78.1383,178.1527,27.1782,0.7657,38.8789,126.8223,30.1301,0.8546,183.1805,31820
slice_0056,71.8849,158.3437,28.2020,0.7819,35.8719,113.1224,31.1230,0.8656,183.0754,31882
slice_0057,83.7083,185.0909,26.8463,0.7603,41.6867,131.3019,29.8286,0.8524,181.7700,31962
slice_0058,72.7611,159.4310,28.1426,0.8001,36.3885,113.7695,31.0735,0.8759,176.6687,32015
slice_0059,86.5541,184.6208,26.8684,0.7567,43.3631,132.4233,29.7547,0.8474,174.8513,32073
slice_0060,96.9964,201.3382,26.1155,0.7401,48.6734,144.7204,28.9834,0.8364,171.6623,32129
slice_0061,108.2790,221.8453,25.2730,0.7264,54.3680,159.6730,28.1294,0.8271,164.9387,32189
slice_0062,125.1986,257.0586,23.9934,0.7059,62.7950,184.9437,26.8532,0.8150,161.2754,32249
slice_0063,136.3861,269.4800,23.5835,0.6756,68.4175,193.8416,26.4451,0.7969,158.1586,32316
slice_0064,136.2416,282.8213,23.1638,0.6937,68.5254,203.3122,26.0308,0.8075,156.6284,32393
slice_0065,139.6272,285.7493,23.0743,0.6766,70.4338,205.6356,25.9321,0.7969,154.7451,32504
slice_0066,134.3129,264.4267,23.7479,0.6632,67.9621,191.2141,26.5636,0.7921,153.5768,32574
slice_0067,138.8555,286.2171,23.0601,0.6810,70.4311,206.4893,25.8961,0.7997,155.0867,32659
slice_0068,114.2777,222.7924,25.2360,0.7013,58.4529,163.3170,27.9334,0.8118,159.4018,32783
slice_0069,114.8489,218.7126,25.3965,0.6854,59.0356,160.9196,28.0618,0.8029,166.7556,32907
slice_0070,113.6007,236.1201,24.7314,0.7028,58.6879,173.2175,27.4222,0.8104,175.0845,33034
slice_0071,101.7961,234.3498,24.7967,0.7224,52.8657,171.5124,27.5081,0.8229,190.4431,33134
slice_0072,101.1547,220.2996,25.3337,0.7267,52.4472,159.9400,28.1149,0.8274,204.0531,33261
slice_0073,85.9647,188.8908,26.6698,0.7435,44.7489,137.0970,29.4535,0.8381,210.1279,33381
slice_0074,75.9091,154.3571,28.4235,0.7482,39.7358,112.5928,31.1638,0.8433,213.9080,33530
slice_0075,71.5275,138.8109,29.3455,0.7796,37.6313,101.8143,32.0379,0.8620,214.5838,33670
slice_0076,69.3361,150.6740,28.6333,0.7658,36.6532,110.3381,31.3395,0.8537,213.2499,33810
